iter	MultiClass	F1:class=0	F1:class=1	F1:class=2	F1:class=3	F1:class=4	F1:class=5	F1:class=6	F1:class=7	F1:class=8	F1:class=9	F1:class=10	F1:class=11	F1:class=12
0	2.544552508	0.2666666667	0.2874251497	0.3743315508	0.3440860215	0.1739130435	0.4153354633	0.2631578947	0.380952381	0.4537037037	0.3309352518	0.6883910387	0.3846153846	0.6575342466
1	2.52372379	0.1666666667	0.3113772455	0.4285714286	0.2051282051	0	0.3966942149	0.2	0.3684210526	0.4954954955	0.2926829268	0.7052023121	0.3970588235	0.6589327146
2	2.493493113	0	0.3312883436	0.3742690058	0.2558139535	0	0.4488636364	0.2089552239	0.4235294118	0.5288461538	0.3559322034	0.7018867925	0.4475524476	0.6471910112
3	2.467573075	0	0.4086021505	0.323699422	0.1643835616	0	0.4984802432	0.2	0.3953488372	0.5700483092	0.4094488189	0.6998087954	0.4657534247	0.6517857143
4	2.432052345	0	0.4347826087	0.2909090909	0.08823529412	0	0.48	0.2089552239	0.4466019417	0.5154639175	0.3739837398	0.7095516569	0.5032258065	0.6607142857
5	2.402148682	0	0.4107142857	0.275	0.05970149254	0	0.4743589744	0.1492537313	0.4672897196	0.5333333333	0.3464566929	0.6942800789	0.4968152866	0.6426966292
6	2.374810633	0	0.4085106383	0.3076923077	0.1690140845	0	0.4866666667	0.1971830986	0.4423076923	0.5185185185	0.3787878788	0.6941176471	0.4871794872	0.6396396396
7	2.350836594	0	0.406779661	0.3037974684	0.1428571429	0	0.4914675768	0.1714285714	0.4339622642	0.5567010309	0.3846153846	0.6982248521	0.4810126582	0.6457399103
8	2.329393961	0	0.4085106383	0.3057324841	0.2191780822	0	0.5017182131	0.1666666667	0.4571428571	0.5291005291	0.4	0.7162426614	0.4840764331	0.6473214286
9	2.311082396	0	0.4140969163	0.3522012579	0.1714285714	0	0.4949832776	0.2	0.4660194175	0.578680203	0.40625	0.71875	0.4871794872	0.6487695749
10	2.292035355	0	0.4090909091	0.3	0.1194029851	0	0.4983606557	0.1891891892	0.4660194175	0.5829145729	0.40625	0.7215686275	0.4810126582	0.6441441441
11	2.271611027	0	0.4166666667	0.3291139241	0.1194029851	0	0.4984025559	0.1578947368	0.4509803922	0.5714285714	0.4031007752	0.7151277014	0.4810126582	0.6486486486
12	2.250989798	0	0.443438914	0.3354037267	0.09090909091	0	0.5182724252	0.1944444444	0.4509803922	0.5656565657	0.4029850746	0.7125984252	0.4810126582	0.6487695749
13	2.232415766	0	0.4394618834	0.3105590062	0.1470588235	0	0.5255972696	0.1917808219	0.4466019417	0.5656565657	0.3969465649	0.7086614173	0.4968944099	0.6503340757
14	2.216457644	0	0.4285714286	0.325	0.1739130435	0	0.5121107266	0.1891891892	0.4761904762	0.5656565657	0.4090909091	0.7125984252	0.5	0.6503340757
15	2.199985176	0	0.4347826087	0.3375	0.1971830986	0	0.5263157895	0.1944444444	0.4952380952	0.5757575758	0.4031007752	0.71484375	0.4840764331	0.6547884187
16	2.185189725	0	0.4347826087	0.3417721519	0.1971830986	0	0.5244755245	0.1666666667	0.5098039216	0.5757575758	0.4031007752	0.7159533074	0.4840764331	0.6518847007
17	2.168416714	0	0.4366812227	0.325	0.2	0	0.5244755245	0.1891891892	0.4905660377	0.5743589744	0.4031007752	0.7151277014	0.5	0.6533333333
18	2.14897241	0	0.4255319149	0.3205128205	0.1470588235	0	0.5226480836	0.1891891892	0.5	0.5816326531	0.390625	0.7109375	0.4810126582	0.6533333333
19	2.131957702	0	0.4329004329	0.3270440252	0.1470588235	0	0.5208333333	0.2162162162	0.5	0.5743589744	0.3875968992	0.7123287671	0.4875	0.6503340757
20	2.117365057	0	0.4279475983	0.3057324841	0.1470588235	0	0.5223367698	0.2191780822	0.5	0.5757575758	0.4153846154	0.7072691552	0.4968944099	0.6517857143
21	2.102453135	0	0.4375	0.325	0.1739130435	0	0.5205479452	0.2162162162	0.4952380952	0.5918367347	0.4031007752	0.7098039216	0.4968944099	0.6517857143
22	2.089107663	0	0.4504504505	0.3333333333	0.2253521127	0	0.524137931	0.1891891892	0.4901960784	0.5773195876	0.4122137405	0.7123287671	0.5061728395	0.6547884187
23	2.073478794	0	0.4524886878	0.3414634146	0.2253521127	0	0.5314685315	0.1944444444	0.5	0.5989847716	0.4122137405	0.7140039448	0.5243902439	0.6607538803
24	2.059207461	0	0.4474885845	0.3292682927	0.25	0	0.5277777778	0.1917808219	0.4854368932	0.595959596	0.4122137405	0.7125984252	0.5153374233	0.6547884187
25	2.047141742	0	0.462962963	0.3536585366	0.2777777778	0	0.5397923875	0.2191780822	0.495049505	0.6060606061	0.427480916	0.7190569745	0.5333333333	0.6577777778
26	2.034675503	0	0.4722222222	0.3456790123	0.301369863	0	0.5347222222	0.2191780822	0.5048543689	0.595959596	0.427480916	0.7165354331	0.5243902439	0.6548672566
27	2.022392521	0	0.4837209302	0.3414634146	0.2777777778	0	0.5454545455	0.24	0.5048543689	0.6130653266	0.4307692308	0.7151277014	0.5243902439	0.6607538803
28	2.010224381	0	0.476635514	0.3456790123	0.2777777778	0	0.5342465753	0.2432432432	0.5098039216	0.6030150754	0.4307692308	0.7176470588	0.5365853659	0.6636971047
29	1.998375722	0	0.4811320755	0.3558282209	0.301369863	0	0.5324232082	0.2465753425	0.5242718447	0.6060606061	0.4341085271	0.7176470588	0.5365853659	0.6666666667
30	1.987175389	0	0.4739336493	0.347826087	0.301369863	0	0.5306122449	0.25	0.5346534653	0.6169154229	0.4341085271	0.7212475634	0.5398773006	0.6666666667
31	1.972636702	0	0.4761904762	0.347826087	0.3466666667	0	0.5342465753	0.2816901408	0.5490196078	0.61	0.427480916	0.7240704501	0.5454545455	0.6666666667
32	1.960420508	0	0.4672897196	0.3522012579	0.3243243243	0	0.5328719723	0.2816901408	0.5436893204	0.6030150754	0.4307692308	0.7176470588	0.5508982036	0.6637168142
33	1.949757936	0	0.4834123223	0.35	0.3243243243	0	0.5410958904	0.2816901408	0.5436893204	0.6030150754	0.4341085271	0.7176470588	0.5508982036	0.6637168142
34	1.938706246	0	0.4834123223	0.3726708075	0.3466666667	0	0.5360824742	0.2777777778	0.5490196078	0.61	0.4444444444	0.7215686275	0.5508982036	0.6666666667
35	1.926854328	0	0.4857142857	0.347826087	0.3243243243	0	0.5479452055	0.2535211268	0.5544554455	0.61	0.448	0.7276264591	0.5542168675	0.6651982379
36	1.91548947	0	0.4834123223	0.3602484472	0.3466666667	0	0.5498281787	0.2777777778	0.5544554455	0.61	0.4444444444	0.7251461988	0.5542168675	0.6637168142
37	1.905590067	0	0.4857142857	0.3558282209	0.3466666667	0	0.5517241379	0.2777777778	0.5631067961	0.6130653266	0.448	0.7276264591	0.5542168675	0.6607538803
38	1.896011773	0	0.4880382775	0.3680981595	0.3466666667	0	0.5460750853	0.2857142857	0.5631067961	0.6268656716	0.4516129032	0.7265625	0.5421686747	0.6637168142
39	1.88617427	0	0.4901960784	0.3614457831	0.3466666667	0	0.5460750853	0.3055555556	0.5576923077	0.62	0.4552845528	0.7276264591	0.5398773006	0.6696035242
40	1.874462443	0	0.4926108374	0.3515151515	0.301369863	0	0.5646258503	0.2777777778	0.5631067961	0.6231155779	0.464	0.7262135922	0.5487804878	0.6725274725
41	1.863775029	0	0.4975609756	0.3515151515	0.3243243243	0	0.5529010239	0.2777777778	0.5631067961	0.6130653266	0.4444444444	0.7276264591	0.5555555556	0.6725274725
42	1.854323183	0	0.5123152709	0.3493975904	0.3243243243	0	0.5547945205	0.301369863	0.5631067961	0.62	0.448	0.7276264591	0.5679012346	0.6754385965
43	1.843303461	0	0.5	0.3536585366	0.3243243243	0	0.5547945205	0.3055555556	0.5631067961	0.6231155779	0.4603174603	0.7262135922	0.5487804878	0.6769230769
44	1.83349589	0	0.5	0.3658536585	0.3243243243	0	0.5586206897	0.3055555556	0.5631067961	0.6231155779	0.4603174603	0.7262135922	0.5575757576	0.6754385965
45	1.824652868	0	0.5024630542	0.3636363636	0.3243243243	0	0.5567010309	0.3055555556	0.5631067961	0.6231155779	0.4566929134	0.7262135922	0.5575757576	0.6784140969
46	1.814381451	0	0.5073170732	0.3636363636	0.3243243243	0	0.5586206897	0.3055555556	0.5631067961	0.6231155779	0.4566929134	0.7262135922	0.5555555556	0.6842105263
47	1.805585261	0	0.5074626866	0.3536585366	0.3243243243	0	0.5529010239	0.3287671233	0.5631067961	0.6231155779	0.4566929134	0.7276264591	0.5644171779	0.6827133479
48	1.79655776	0	0.51	0.371257485	0.3243243243	0	0.5567010309	0.3287671233	0.5631067961	0.6231155779	0.4566929134	0.7276264591	0.5644171779	0.6827133479
49	1.788092453	0	0.504950495	0.3734939759	0.3243243243	0	0.5517241379	0.3287671233	0.5631067961	0.6231155779	0.4566929134	0.7276264591	0.5644171779	0.6827133479
50	1.7796414	0	0.5	0.3614457831	0.3243243243	0	0.5517241379	0.301369863	0.5490196078	0.6231155779	0.4566929134	0.7276264591	0.5575757576	0.6740088106
51	1.771529171	0	0.4951456311	0.3680981595	0.3243243243	0	0.5517241379	0.3055555556	0.5631067961	0.6231155779	0.4566929134	0.7276264591	0.5575757576	0.6769230769
52	1.763401467	0	0.5	0.3780487805	0.3466666667	0	0.553633218	0.3055555556	0.5631067961	0.6231155779	0.4566929134	0.7290448343	0.5644171779	0.6813186813
53	1.754704034	0	0.4975609756	0.3780487805	0.3466666667	0	0.5567010309	0.3055555556	0.5631067961	0.6231155779	0.4566929134	0.7265625	0.5542168675	0.6740088106
54	1.746334022	0	0.5	0.3780487805	0.3466666667	0	0.553633218	0.3287671233	0.568627451	0.6231155779	0.4566929134	0.7290448343	0.5575757576	0.6754966887
55	1.739443514	0	0.5073170732	0.3780487805	0.3466666667	0	0.5547945205	0.3243243243	0.56	0.6231155779	0.4566929134	0.7315175097	0.5609756098	0.6740088106
56	1.731729566	0	0.5145631068	0.3757575758	0.3466666667	0	0.5547945205	0.3243243243	0.56	0.6231155779	0.4603174603	0.7339805825	0.5609756098	0.6769911504
57	1.72393132	0	0.5145631068	0.3878787879	0.3466666667	0	0.5635738832	0.32	0.56	0.6262626263	0.4603174603	0.7364341085	0.5644171779	0.6799116998
58	1.716788527	0	0.5196078431	0.3975903614	0.3466666667	0	0.5753424658	0.32	0.56	0.6262626263	0.4603174603	0.7364341085	0.5644171779	0.6799116998
