iter	Passed	Remaining
0	34	34297
1	67	33498
2	97	32410
3	126	31417
4	154	30814
5	183	30466
6	213	30317
7	242	30048
8	274	30206
9	301	29892
10	328	29500
11	353	29097
12	378	28715
13	403	28444
14	430	28245
15	458	28184
16	485	28101
17	511	27887
18	534	27607
19	558	27369
20	584	27259
21	610	27153
22	638	27116
23	664	27019
24	691	26962
25	717	26860
26	744	26836
27	772	26805
28	797	26714
29	825	26705
30	852	26651
31	877	26547
32	903	26486
33	930	26445
34	957	26389
35	992	26578
36	1019	26547
37	1047	26506
38	1074	26468
39	1101	26446
40	1128	26384
41	1153	26307
42	1181	26299
43	1205	26193
44	1232	26150
45	1260	26141
46	1285	26075
47	1312	26035
48	1337	25966
49	1363	25909
50	1388	25836
51	1414	25783
52	1442	25770
53	1466	25698
54	1493	25658
55	1519	25620
56	1547	25601
57	1574	25565
58	1599	25508
59	1624	25450
60	1651	25423
61	1677	25383
62	1702	25328
63	1729	25293
64	1756	25265
65	1783	25234
66	1808	25186
67	1833	25125
68	1860	25105
69	1887	25071
70	1911	25009
71	1935	24951
72	1962	24915
73	1988	24878
74	2013	24832
75	2039	24796
76	2067	24778
77	2092	24730
78	2119	24709
79	2145	24676
80	2171	24640
81	2198	24609
82	2223	24564
83	2247	24511
84	2275	24499
85	2301	24465
86	2328	24432
87	2354	24397
88	2380	24363
89	2405	24321
90	2429	24272
91	2457	24251
92	2482	24215
93	2506	24159
94	2533	24131
95	2558	24092
96	2585	24065
97	2611	24040
98	2639	24021
99	2665	23990
100	2693	23972
101	2720	23948
102	2746	23922
103	2771	23877
104	2797	23844
105	2823	23816
106	2849	23779
107	2874	23739
108	2898	23696
109	2924	23662
110	2951	23637
111	2977	23604
112	3001	23557
113	3027	23531
114	3052	23493
115	3076	23443
116	3103	23421
117	3129	23394
118	3155	23363
119	3182	23337
120	3206	23291
121	3232	23264
122	3256	23218
123	3281	23181
124	3304	23131
125	3331	23108
126	3356	23073
127	3382	23045
128	3406	22999
129	3431	22963
130	3454	22917
131	3477	22864
132	3501	22824
133	3523	22770
134	3548	22739
135	3574	22710
136	3600	22680
137	3625	22648
138	3650	22612
139	3675	22578
140	3699	22540
141	3722	22493
142	3749	22471
143	3774	22439
144	3798	22397
145	3822	22358
146	3845	22312
147	3867	22266
148	3893	22236
149	3920	22215
150	3943	22170
151	3967	22133
152	3991	22098
153	4018	22076
154	4044	22051
155	4069	22014
156	4092	21975
157	4117	21941
158	4143	21918
159	4171	21902
160	4196	21867
161	4221	21837
162	4246	21804
163	4271	21774
164	4297	21747
165	4321	21713
166	4345	21677
167	4370	21645
168	4396	21617
169	4421	21588
170	4446	21554
171	4470	21522
172	4498	21506
173	4523	21475
174	4550	21453
175	4576	21428
176	4603	21402
177	4625	21360
178	4648	21319
179	4673	21291
180	4698	21260
181	4723	21230
182	4748	21199
183	4772	21166
184	4794	21123
185	4822	21106
186	4848	21081
187	4872	21044
188	4898	21020
189	4924	20994
190	4946	20951
191	4973	20930
192	5000	20910
193	5024	20875
194	5048	20840
195	5075	20821
196	5102	20799
197	5128	20774
198	5154	20746
199	5180	20722
200	5206	20697
201	5232	20669
202	5255	20633
203	5280	20606
204	5304	20569
205	5332	20552
206	5356	20518
207	5382	20494
208	5407	20466
209	5432	20436
210	5460	20419
211	5485	20387
212	5511	20362
213	5539	20345
214	5564	20317
215	5593	20301
216	5616	20267
217	5641	20237
218	5666	20207
219	5692	20180
220	5717	20154
221	5744	20131
222	5768	20099
223	5792	20067
224	5815	20030
225	5838	19995
226	5862	19962
227	5885	19928
228	5909	19896
229	5934	19868
230	5960	19843
231	5984	19810
232	6008	19778
233	6032	19747
234	6059	19724
235	6085	19701
236	6109	19669
237	6134	19642
238	6157	19606
239	6183	19580
240	6207	19549
241	6230	19516
242	6256	19491
243	6279	19455
244	6305	19432
245	6328	19398
246	6351	19364
247	6375	19333
248	6401	19307
249	6425	19275
250	6450	19248
251	6473	19215
252	6499	19190
253	6522	19156
254	6548	19131
255	6575	19109
256	6601	19086
257	6626	19058
258	6650	19027
259	6675	19000
260	6700	18971
261	6725	18943
262	6751	18920
263	6777	18894
264	6801	18863
265	6824	18830
266	6845	18793
267	6866	18754
268	6889	18723
269	6916	18700
270	6941	18673
271	6965	18643
272	6991	18618
273	7014	18585
274	7039	18558
275	7064	18531
276	7088	18502
277	7113	18474
278	7136	18443
279	7161	18414
280	7186	18389
281	7211	18361
282	7235	18332
283	7258	18299
284	7281	18267
285	7304	18236
286	7329	18208
287	7354	18181
288	7377	18151
289	7402	18122
290	7426	18092
291	7451	18067
292	7475	18038
293	7497	18004
294	7520	17971
295	7543	17941
296	7566	17909
297	7589	17878
298	7615	17855
299	7639	17826
300	7664	17797
301	7687	17767
302	7711	17738
303	7732	17703
304	7757	17677
305	7780	17646
306	7804	17616
307	7827	17586
308	7852	17560
309	7874	17526
310	7900	17502
311	7923	17471
312	7947	17442
313	7968	17409
